# 2D Plot Data for Cf-252 Spontaneous Fission Yields at 0 (eV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   1.8736100e-17
      24   1.8924553e-13
      25   3.3730479e-11
      26   1.2208070e-09
      27   1.3805026e-08
      28   1.5492942e-07
      29   1.1102787e-06
      30   9.4643533e-06
      31   5.1061272e-05
      32   2.4936865e-04
      33   9.7911600e-04
      34   3.1868018e-03
      35   6.6412888e-03
      36   1.3788293e-02
      37   2.1024087e-02
      38   3.7190074e-02
      39   5.3365425e-02
      40   8.9449141e-02
      41   1.0899816e-01
      42   1.4326753e-01
      43   1.4832155e-01
      44   1.3259803e-01
      45   9.6882660e-02
      46   7.4557664e-02
      47   4.8744716e-02
      48   1.2044699e-02
      49   7.4404831e-04
      50   1.5942626e-02
      51   4.6468370e-02
      52   8.3414619e-02
      53   8.5102533e-02
      54   1.5102594e-01
      55   1.4121487e-01
      56   1.5726243e-01
      57   1.1594701e-01
      58   8.5809556e-02
      59   5.1264910e-02
      60   3.2214929e-02
      61   2.1255579e-02
      62   1.0779388e-02
      63   6.6133892e-03
      64   2.6491668e-03
      65   7.1362717e-04
      66   1.9231538e-04
      67   3.0555724e-05
      68   4.8437650e-06
      69   1.8156190e-07
      70   1.0740074e-09
      71   4.4196800e-13
