# 2D Plot Data for Pu-239 Neutron-induced Fission Yields at 14 (MeV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   5.8359000e-14
      24   1.0252733e-10
      25   1.5202419e-08
      26   4.0344145e-07
      27   3.0379965e-06
      28   1.6151631e-05
      29   6.8119401e-05
      30   2.5691393e-04
      31   1.0613127e-03
      32   3.8309326e-03
      33   1.0093779e-02
      34   1.9475139e-02
      35   3.1365805e-02
      36   4.5896087e-02
      37   6.3647869e-02
      38   8.5955985e-02
      39   1.0726481e-01
      40   1.2093378e-01
      41   1.2614295e-01
      42   1.1733418e-01
      43   9.4254836e-02
      44   6.8667269e-02
      45   4.4021276e-02
      46   3.4078893e-02
      47   3.3962911e-02
      48   3.7470269e-02
      49   5.0996765e-02
      50   7.5792992e-02
      51   9.4288380e-02
      52   1.1550589e-01
      53   1.3909553e-01
      54   1.2319180e-01
      55   1.0795977e-01
      56   8.2290393e-02
      57   6.1148848e-02
      58   4.2076180e-02
      59   2.7862534e-02
      60   1.7269765e-02
      61   9.4753302e-03
      62   4.6064062e-03
      63   1.8925707e-03
      64   5.9594948e-04
      65   1.2545112e-04
      66   1.9337857e-05
      67   3.3986293e-06
      68   7.5152713e-07
      69   1.0592251e-07
      70   3.9222140e-09
      71   2.0911800e-11
