# 2D Plot Data for Pu-240 Neutron-induced Fission Yields at 0.0253 (eV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   5.2963000e-19
      24   2.7074993e-14
      25   1.3742802e-11
      26   1.3213053e-09
      27   1.8278705e-08
      28   3.5386703e-07
      29   2.7567329e-06
      30   4.2568339e-05
      31   2.2837230e-04
      32   1.5997602e-03
      33   4.2581128e-03
      34   1.4304856e-02
      35   1.9909988e-02
      36   4.9703174e-02
      37   5.9090465e-02
      38   1.2220075e-01
      39   1.1550715e-01
      40   1.8334090e-01
      41   1.3183306e-01
      42   1.6326736e-01
      43   7.6892397e-02
      44   5.3737314e-02
      45   3.0667937e-03
      46   1.1779926e-03
      47   6.8028235e-04
      48   8.2734375e-04
      49   3.2472821e-03
      50   4.9920734e-02
      51   7.6596553e-02
      52   1.7014148e-01
      53   1.3422942e-01
      54   1.7986951e-01
      55   1.1487414e-01
      56   1.2334373e-01
      57   5.8246268e-02
      58   4.8917779e-02
      59   1.9502954e-02
      60   1.3311940e-02
      61   3.8928184e-03
      62   1.8758287e-03
      63   3.1271754e-04
      64   4.4858965e-05
      65   2.3424357e-06
      66   3.1775318e-07
      67   1.5493160e-08
      68   8.0165585e-10
      69   5.5936343e-12
      70   9.1752900e-15
      71   0.0000000e+00
