# 2D Plot Data for Pu-241 Neutron-induced Fission Yields at 500 (keV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   1.4067800e-18
      24   7.2962213e-14
      25   4.3685266e-11
      26   5.0241969e-09
      27   8.3549266e-08
      28   1.5235539e-06
      29   1.1213260e-05
      30   1.1322466e-04
      31   4.2942290e-04
      32   2.2048608e-03
      33   4.6987827e-03
      34   1.4085065e-02
      35   1.9910561e-02
      36   4.7677483e-02
      37   5.7191779e-02
      38   1.1265719e-01
      39   1.0940391e-01
      40   1.7605623e-01
      41   1.3870562e-01
      42   1.7289018e-01
      43   8.1720213e-02
      44   5.4395419e-02
      45   5.5672782e-03
      46   2.2514279e-03
      47   1.5776095e-03
      48   2.3128828e-03
      49   4.7851149e-03
      50   5.6319491e-02
      51   8.2455290e-02
      52   1.7321973e-01
      53   1.3841960e-01
      54   1.7667564e-01
      55   1.0640028e-01
      56   1.1258438e-01
      57   5.6799773e-02
      58   4.7211196e-02
      59   1.9497689e-02
      60   1.3767493e-02
      61   4.8841258e-03
      62   2.4984221e-03
      63   4.7608125e-04
      64   1.2817239e-04
      65   1.4201469e-05
      66   2.3481571e-06
      67   1.3130681e-07
      68   6.4167603e-09
      69   2.9366503e-11
      70   2.1268227e-14
      71   0.0000000e+00
