# 2D Plot Data for U-235 Neutron-induced Fission Yields at 0.0253 (eV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   2.0558300e-19
      24   2.8862345e-14
      25   1.3368750e-11
      26   1.6193162e-09
      27   1.3709663e-08
      28   3.0150265e-07
      29   3.6301782e-06
      30   1.1200954e-04
      31   7.0351909e-04
      32   4.4498299e-03
      33   9.1719425e-03
      34   3.6528367e-02
      35   5.2682609e-02
      36   1.5625724e-01
      37   1.2071735e-01
      38   1.9331319e-01
      39   1.2675553e-01
      40   1.8037105e-01
      41   6.8939851e-02
      42   4.3268378e-02
      43   3.4683702e-03
      44   4.1462569e-04
      45   2.2779437e-04
      46   3.4012286e-04
      47   2.7543142e-04
      48   1.6063619e-03
      49   1.7210332e-03
      50   3.6208508e-02
      51   7.7033688e-02
      52   1.7331044e-01
      53   1.1582092e-01
      54   2.0090419e-01
      55   1.1037331e-01
      56   1.6401242e-01
      57   6.0615264e-02
      58   4.1834320e-02
      59   1.3435892e-02
      60   4.5405310e-03
      61   4.6638638e-04
      62   1.0987593e-04
      63   5.1296865e-06
      64   3.9564637e-07
      65   1.1679425e-08
      66   1.9805406e-09
      67   7.0990343e-11
      68   4.8416648e-12
      69   2.4283831e-14
      70   2.4747259e-17
      71   0.0000000e+00
