# 2D Plot Data for U-235 Neutron-induced Fission Yields at 500 (keV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   4.4739200e-18
      24   4.5273687e-13
      25   1.5474048e-10
      26   1.3210549e-08
      27   9.1725702e-08
      28   1.9230688e-06
      29   1.8366528e-05
      30   3.7983308e-04
      31   1.1272783e-03
      32   6.1025053e-03
      33   1.1004017e-02
      34   4.3768650e-02
      35   6.0193636e-02
      36   1.2969001e-01
      37   1.2518899e-01
      38   2.0634608e-01
      39   1.3220950e-01
      40   1.7328457e-01
      41   6.5988213e-02
      42   4.2606469e-02
      43   1.8676200e-03
      44   1.0730317e-03
      45   6.3855684e-04
      46   1.0059088e-03
      47   6.1436737e-04
      48   1.1946159e-03
      49   4.1673155e-03
      50   4.7391623e-02
      51   7.4507073e-02
      52   1.5822412e-01
      53   1.2596100e-01
      54   1.8127738e-01
      55   1.3513758e-01
      56   1.4815962e-01
      57   6.9911586e-02
      58   3.8384821e-02
      59   8.1341419e-03
      60   3.8461531e-03
      61   4.4804625e-04
      62   1.3725249e-04
      63   8.9708071e-06
      64   7.0231770e-07
      65   1.7306319e-08
      66   2.3775927e-09
      67   9.8366525e-11
      68   5.6658863e-12
      69   1.6646059e-14
      70   8.5284500e-18
      71   0.0000000e+00
