# 2D Plot Data for U-238 Neutron-induced Fission Yields at 14 (MeV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   2.3900700e-14
      24   1.3726537e-10
      25   2.9247088e-08
      26   8.3428541e-07
      27   6.1024264e-06
      28   3.2919739e-05
      29   1.4086960e-04
      30   5.4246143e-04
      31   2.2750914e-03
      32   7.2560671e-03
      33   1.8126274e-02
      34   3.3486478e-02
      35   5.5988243e-02
      36   8.6642951e-02
      37   1.1270512e-01
      38   1.3069286e-01
      39   1.3932718e-01
      40   1.3723357e-01
      41   1.1251644e-01
      42   7.0118893e-02
      43   3.6316814e-02
      44   2.5864817e-02
      45   2.1150832e-02
      46   1.9957881e-02
      47   2.2343353e-02
      48   2.5436314e-02
      49   3.8772656e-02
      50   6.9563097e-02
      51   1.0911731e-01
      52   1.3850364e-01
      53   1.4163544e-01
      54   1.1732259e-01
      55   1.1858488e-01
      56   8.8844691e-02
      57   5.6765738e-02
      58   3.3992702e-02
      59   1.7877825e-02
      60   7.2955062e-03
      61   2.5551961e-03
      62   7.5260624e-04
      63   1.9269716e-04
      64   4.7890292e-05
      65   1.0940465e-05
      66   2.2479189e-06
      67   3.4155823e-07
      68   1.8509765e-08
      69   1.4753700e-10
      70   1.1231173e-13
      71   0.0000000e+00
