# 2D Plot Data for U-238 Spontaneous Fission Yields at 0 (eV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   0.0000000e+00
      24   6.3437062e-17
      25   4.0308410e-14
      26   2.7958286e-12
      27   5.2292159e-11
      28   1.4039912e-09
      29   2.4379459e-08
      30   6.8763070e-07
      31   1.3900742e-05
      32   2.6381226e-04
      33   2.8210281e-03
      34   2.2263322e-02
      35   6.0490850e-02
      36   1.7739415e-01
      37   1.5247081e-01
      38   1.8418476e-01
      39   1.4797761e-01
      40   1.5851056e-01
      41   7.4692023e-02
      42   1.7020397e-02
      43   4.4790142e-04
      44   1.1124345e-04
      45   8.1456984e-05
      46   8.8910907e-05
      47   8.8367448e-05
      48   1.1860451e-04
      49   7.2972548e-04
      50   2.5711118e-02
      51   8.5621064e-02
      52   1.4072355e-01
      53   1.2904648e-01
      54   2.1194884e-01
      55   1.5300109e-01
      56   1.4950074e-01
      57   7.5893984e-02
      58   2.6567129e-02
      59   2.0796527e-03
      60   1.2936154e-04
      61   7.2981152e-06
      62   3.5067016e-07
      63   8.3660205e-09
      64   3.2776094e-10
      65   1.3415141e-11
      66   1.2966604e-12
      67   5.2350333e-14
      68   4.2519813e-16
      69   1.0125443e-19
      70   0.0000000e+00
      71   0.0000000e+00
