1-H-1(n,total) ENDF/B-VII.1
1.0E-5,1190.11
1.30547E-5,1041.65
1.69973E-5,912.93
2.23074E-5,796.951
2.90443E-5,698.494
3.81181E-5,609.787
4.96298E-5,534.485
6.51347E-5,466.644
8.48055E-5,409.062
1.113E-4,357.19
1.44912E-4,313.169
1.90184E-4,273.523
2.47621E-4,239.885
3.2498E-4,209.6
4.23124E-4,183.918
5.55313E-4,160.809
7.23019E-4,141.227
9.48898E-4,123.625
0.00123547,108.73
0.00162144,95.3634
0.00211112,84.0771
0.00277065,73.9788
0.0036074,65.4837
0.00473439,57.9193
0.00616418,51.5949
0.00808994,46.0074
0.0105331,41.382
0.0150549,36.2183
0.0215178,32.1431
0.0234089,31.322
0.0253,30.6083
0.0361611,27.8194
0.0567377,25.2833
0.0883169,23.6085
0.165666,22.1673
0.40461,21.176
1.83896,20.6311
13892.0,18.7465
47821.2,15.7372
87821.2,13.3291
150000.0,10.9238
200000.0,9.64359
300000.0,7.9523
400000.0,6.87664
500000.0,6.1256
650000.0,5.34948
850000.0,4.63655
1097760.0,4.05273
1400000.0,3.54181
1900000.0,2.99295
2500000.0,2.5511
3300000.0,2.14949
4200000.0,1.83283
5500000.0,1.51359
7000000.0,1.2584
8750000.0,1.04877
1.1E7,0.858712
1.375E7,0.699179
1.7E7,0.568999
2.0E7,0.482784
