8-O-16(n,total) ENDF/B-VII.1
1.0E-5,55.612
1.33685E-5,48.131
1.7734E-5,41.8262
2.3469E-5,36.4008
3.122E-5,31.6099
4.09735E-5,27.6468
5.6406E-5,23.6364
7.36055E-5,20.7628
9.88125E-5,18.0099
1.3375E-4,15.5868
1.796E-4,13.5714
2.4162E-4,11.8402
3.34275E-4,10.2421
4.51423E-4,9.00228
6.2875E-4,7.86599
8.91835E-4,6.89402
0.0012818,6.09589
0.00187638,5.45233
0.002703,4.9913
0.00424108,4.5888
0.00724699,4.28513
0.0148047,4.06411
0.0241724,3.9819
0.0253,3.97611
0.126231,3.87687
192504.0,3.48986
260000.0,3.43148
316850.0,3.53572
345000.0,3.77245
360000.0,4.03536
372500.0,4.445
380000.0,4.78968
390000.0,5.53446
400000.0,6.79511
406250.0,8.04854
411250.0,9.37619
417500.0,11.5256
426250.0,14.8848
430000.0,16.0606
435000.0,16.555
440000.0,15.7621
456250.0,10.1127
462500.0,8.4748
468750.0,7.25096
475000.0,6.3475
485000.0,5.38396
497750.0,4.63576
515000.0,4.0514
535000.0,3.6571
570000.0,3.28666
630000.0,2.98794
730000.0,2.76078
780000.0,2.72003
840000.0,2.78786
870000.0,2.94281
890000.0,3.13956
910000.0,3.45084
925000.0,3.86151
940000.0,4.45839
955000.0,5.37425
980000.0,7.36364
990000.0,7.96905
1000000.0,8.15303
1010000.0,7.86967
1050000.0,5.27154
1070000.0,4.38308
1090000.0,3.80151
1120000.0,3.26776
1155000.0,2.91746
1200000.0,2.68873
1220000.0,2.65805
1245000.0,2.7335
1260000.0,2.89917
1270000.0,3.13741
1280000.0,3.57333
1287500.0,4.13925
1295000.0,4.94822
1305000.0,6.28572
1310000.0,6.69746
1315000.0,6.68002
1321250.0,6.11277
1331250.0,4.91745
1340000.0,4.07385
1350000.0,3.4683
1360000.0,3.09085
1375000.0,2.75925
1395000.0,2.5042
1450000.0,2.19427
1525000.0,2.0092
1620000.0,1.88048
1630000.0,1.90292
1640000.0,2.06966
1642500.0,2.2356
1644000.0,2.42405
1645250.0,2.71343
1646000.0,2.96818
1647000.0,3.53009
1648000.0,4.5157
1648620.0,5.49167
1650000.0,8.35914
1650500.0,8.88024
1651000.0,8.60847
1651750.0,7.14719
1652620.0,5.4256
1653000.0,4.75571
1654000.0,3.66321
1655000.0,3.04421
1656000.0,2.67775
1657000.0,2.44765
1658500.0,2.2412
1660000.0,2.11375
1665000.0,1.92988
1675000.0,1.82658
1685000.0,1.78952
1687000.0,1.85523
1689500.0,1.97445
1690000.0,1.98306
1692000.0,1.902
1694500.0,1.77683
1810000.0,1.57455
1820000.0,1.57037
1823000.0,1.6445
1824500.0,1.72575
1826000.0,1.85643
1828000.0,2.24665
1830120.0,3.17812
1832000.0,4.37803
1833000.0,4.72336
1834000.0,4.64814
1837500.0,3.33105
1839500.0,2.8407
1842000.0,2.48425
1845000.0,2.2552
1850000.0,2.05714
1858000.0,1.93528
1865000.0,1.90675
1875000.0,1.95354
1882500.0,2.095
1887500.0,2.2724
1891250.0,2.46563
1900000.0,3.06461
1905000.0,3.18027
1911250.0,2.87577
1920000.0,2.34821
1927500.0,2.0843
1937500.0,1.8873
1955000.0,1.7308
1990000.0,1.60171
2150000.0,1.33898
2210000.0,1.1864
2245000.0,1.03226
2265000.0,0.900492
2282500.0,0.750601
2305000.0,0.503593
2324750.0,0.270412
2332000.0,0.199875
2337500.0,0.157795
2342000.0,0.132706
2346500.0,0.11711
2350500.0,0.11154
2351000.0,0.111357
2354760.0,0.11433
2359000.0,0.125595
2364000.0,0.149053
2370000.0,0.189473
2378750.0,0.266095
2410000.0,0.575562
2430000.0,0.732341
2455000.0,0.867085
2485000.0,0.966795
2540000.0,1.05339
2625000.0,1.089
2700000.0,1.0929
2750000.0,1.0913
2870000.0,1.11224
2883000.0,1.14835
2886000.0,1.19645
2887000.0,1.24812
2888000.0,1.40009
2888300.0,1.52242
2888500.0,1.67232
2888650.0,1.86293
2888800.0,2.16797
2889000.0,2.69064
2889090.0,2.77861
2889150.0,2.70653
2889220.0,2.467
2889410.0,1.62064
2889500.0,1.34282
2889580.0,1.19001
2889650.0,1.09523
2889750.0,1.02551
2889900.0,0.982814
2890000.0,0.972629
2893000.0,1.04295
2900000.0,1.08583
3000000.0,1.20673
3005750.0,1.24416
3006500.0,1.29239
3006700.0,1.34832
3006800.0,1.42608
3006880.0,1.55556
3006980.0,1.86852
3007050.0,2.07422
3007080.0,2.09262
3007120.0,2.02159
3007190.0,1.76956
3007260.0,1.42787
3007300.0,1.30503
3007350.0,1.20465
3007400.0,1.15892
3007500.0,1.14172
3008700.0,1.19195
3027500.0,1.2554
3080000.0,1.42704
3120000.0,1.64425
3165000.0,2.0105
3204000.0,2.44718
3208000.0,2.58454
3209250.0,2.75449
3210120.0,3.0377
3210500.0,3.30493
3211050.0,4.04871
3211550.0,5.03892
3211750.0,5.19681
3211900.0,5.11566
3212300.0,4.36629
3212700.0,3.64257
3213100.0,3.21321
3213600.0,2.93534
3214400.0,2.74353
3216000.0,2.63073
3218000.0,2.60493
3275000.0,3.0554
3318000.0,3.18425
3327000.0,3.1904
3430000.0,3.05319
3438120.0,3.10197
3438380.0,3.13898
3438560.0,3.27596
3439000.0,3.91323
3439380.0,4.02064
3439500.0,4.00036
3440060.0,3.63874
3440090.0,3.63852
3440500.0,3.76081
3441000.0,4.27007
3441650.0,5.5018
3441780.0,5.57413
3442000.0,5.34904
3442500.0,4.28752
3443000.0,3.67126
3443500.0,3.39663
3444500.0,3.19567
3450000.0,3.05588
3500000.0,3.01323
3630000.0,3.08428
3645400.0,3.08209
3646400.0,3.09861
3720000.0,2.99588
3740000.0,3.07189
3745000.0,3.17264
3750000.0,3.40412
3755000.0,3.99147
3761500.0,5.73605
3763000.0,5.88545
3764500.0,5.67275
3769500.0,4.20505
3772000.0,3.72169
3775000.0,3.37585
3780000.0,3.06214
3787500.0,2.8567
3805000.0,2.65385
3860000.0,2.3663
3920000.0,2.19253
4000000.0,2.06849
4020000.0,1.93883
4035000.0,1.7447
4060000.0,1.34921
4070000.0,1.24691
4085000.0,1.1766
4100000.0,1.15517
4120000.0,1.18897
4130000.0,1.25256
4140000.0,1.37283
4153750.0,1.65668
4172500.0,2.09205
4182500.0,2.2179
4190000.0,2.2436
4207500.0,2.1322
4265000.0,1.46859
4275000.0,1.40829
4280000.0,1.41779
4285000.0,1.47972
4290000.0,1.61811
4296250.0,1.91175
4310000.0,2.66432
4317500.0,2.91625
4326500.0,3.0313
4327000.0,3.03141
4340000.0,2.89726
4370000.0,2.39402
4400000.0,2.07377
4430000.0,1.89638
4445000.0,1.86288
4460000.0,1.88641
4464000.0,1.83441
4467000.0,1.6847
4471000.0,1.4166
4472000.0,1.36324
4475000.0,1.29425
4495000.0,1.34443
4520000.0,1.31224
4524500.0,1.3579
4527000.0,1.46121
4528500.0,1.6071
4529750.0,1.81512
4531000.0,2.14216
4533000.0,2.82032
4534000.0,3.00702
4535000.0,2.98233
4539000.0,2.22623
4540000.0,2.09351
4545000.0,1.73199
4550000.0,1.58537
4560000.0,1.46004
4582500.0,1.3549
4591000.0,1.33983
4597500.0,1.3731
4601500.0,1.463
4605000.0,1.37841
4610000.0,1.31789
4615000.0,1.30749
4622500.0,1.33665
4627500.0,1.4025
4630500.0,1.51215
4632500.0,1.65455
4634500.0,1.8994
4637000.0,2.2999
4638000.0,2.35976
4639000.0,2.28634
4641880.0,1.857
4645000.0,1.43204
4650000.0,1.25354
4657500.0,1.1789
4685000.0,1.0971
4762500.0,0.965085
4770000.0,0.961218
4787500.0,0.98573
4797500.0,1.0445
4805000.0,1.12976
4812500.0,1.2804
4821250.0,1.54008
4833000.0,1.92735
4840000.0,2.03522
4842000.0,2.04004
4852500.0,1.9301
4875000.0,1.5591
4895000.0,1.3459
4920000.0,1.19035
4955000.0,1.07645
4980000.0,1.04395
5005000.0,1.0738
5025000.0,1.1699
5045000.0,1.35023
5075000.0,1.65225
