92-U-235(n,total nubar) ENDF/B-VII.1
1.0E-5,2.4367
0.0253,2.4367
0.05,2.4367
10.0,2.4367
100.0,2.4338
1000.0,2.4338
5500.0,2.4338
7750.0,2.4338
10000.0,2.4338
15000.0,2.43057
20000.0,2.42882
30000.0,2.4257
40000.0,2.42366
50000.0,2.42347
60000.0,2.42476
70000.0,2.42755
80000.0,2.43088
90000.0,2.43435
100000.0,2.43776
120000.0,2.44515
130000.0,2.4485
140000.0,2.45161
150000.0,2.45448
170000.0,2.46138
200000.0,2.46867
250000.0,2.47193
300000.0,2.47447
350000.0,2.47658
400000.0,2.47847
500000.0,2.48366
600000.0,2.4888
700000.0,2.49809
800000.0,2.50848
900000.0,2.51968
1000000.0,2.53271
1200000.0,2.55694
1400000.0,2.5821
1600000.0,2.60692
1800000.0,2.63069
2000000.0,2.65335
2200000.0,2.67561
2400000.0,2.69799
2600000.0,2.72051
2800000.0,2.74397
3000000.0,2.7682
3500000.0,2.82782
4000000.0,2.89275
4500000.0,2.9671
5000000.0,3.04535
5500000.0,3.132
6000000.0,3.22255
6500000.0,3.3172
7000000.0,3.4054
7500000.0,3.47641
8000000.0,3.54464
8500000.0,3.61775
9000000.0,3.68983
9500000.0,3.76116
1.0E7,3.83092
1.05E7,3.89928
1.1E7,3.96694
1.15E7,4.03413
1.2E7,4.10102
1.25E7,4.16966
1.3E7,4.24115
1.35E7,4.31436
1.4E7,4.38834
1.45E7,4.46229
1.5E7,4.53746
1.55E7,4.61408
1.6E7,4.6901
1.65E7,4.76375
1.7E7,4.83344
1.75E7,4.89993
1.8E7,4.96485
1.85E7,5.02825
1.9E7,5.09017
1.95E7,5.15069
2.0E7,5.20985
