# 92-U-235(n,thermal chi) ENDF/B-VII.1
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.965440975170814129e-09
1.100000000000000000e+01,2.059881928646836577e-09
1.200000000000000000e+01,2.152540977340292883e-09
1.300000000000000000e+01,2.239854311686049939e-09
1.400000000000000000e+01,2.325385741249240439e-09
1.500000000000000000e+01,2.405571456464731275e-09
1.600000000000000000e+01,2.485757171680222524e-09
1.700000000000000000e+01,2.562379077330580664e-09
1.800000000000000000e+01,2.635437173415806107e-09
1.900000000000000000e+01,2.708495269501031136e-09
2.000000000000000000e+01,2.777989556021123056e-09
2.100000000000000000e+01,2.847483842541215803e-09
2.200000000000000000e+01,2.913414319496175026e-09
2.300000000000000000e+01,2.979344796451134250e-09
2.400000000000000000e+01,3.043493368623526919e-09
2.500000000000000000e+01,3.105860036013353446e-09
2.600000000000000000e+01,3.168226703403179973e-09
2.700000000000000000e+01,3.228811466010439532e-09
2.800000000000000000e+01,3.287614323835132949e-09
2.900000000000000000e+01,3.346417181659826366e-09
3.000000000000000000e+01,3.403438134701953642e-09
3.100000000000000000e+01,3.458677182961513950e-09
3.200000000000000000e+01,3.513916231221074671e-09
3.300000000000000000e+01,3.569155279480634565e-09
3.400000000000000000e+01,3.622612422957628731e-09
3.500000000000000000e+01,3.676069566434622897e-09
3.600000000000000000e+01,3.727744805129050922e-09
3.700000000000000000e+01,3.779420043823478120e-09
3.800000000000000000e+01,3.829313377735339176e-09
3.900000000000000000e+01,3.880988616429766374e-09
4.000000000000000000e+01,3.929100045559061289e-09
4.100000000000000000e+01,3.978993379470922345e-09
4.200000000000000000e+01,4.027104808600217260e-09
4.300000000000000000e+01,4.073434332946946034e-09
4.400000000000000000e+01,4.121545762076240122e-09
4.500000000000000000e+01,4.167875286422968068e-09
4.600000000000000000e+01,4.214204810769696842e-09
4.700000000000000000e+01,4.258752430333858647e-09
4.800000000000000000e+01,4.305081954680585766e-09
4.900000000000000000e+01,4.349629574244748399e-09
5.000000000000000000e+01,4.394177193808910204e-09
5.100000000000000000e+01,4.436942908590505041e-09
5.200000000000000000e+01,4.479708623372099877e-09
5.300000000000000000e+01,4.522474338153694714e-09
5.400000000000000000e+01,4.565240052935291205e-09
5.500000000000000000e+01,4.608005767716886042e-09
5.600000000000000000e+01,4.648989577715913910e-09
5.700000000000000000e+01,4.691755292497510401e-09
5.800000000000000000e+01,4.732739102496538269e-09
5.900000000000000000e+01,4.771941007713000823e-09
6.000000000000000000e+01,4.812924817712029518e-09
6.100000000000000000e+01,4.852126722928492072e-09
6.200000000000000000e+01,4.893110532927519940e-09
6.300000000000000000e+01,4.932312438143982494e-09
6.400000000000000000e+01,4.969732438577878907e-09
6.500000000000000000e+01,5.008934343794341461e-09
6.600000000000000000e+01,5.048136249010803188e-09
6.700000000000000000e+01,5.085556249444699600e-09
6.800000000000000000e+01,5.122976249878595186e-09
6.900000000000000000e+01,5.160396250312490771e-09
7.000000000000000000e+01,5.197816250746387184e-09
7.100000000000000000e+01,5.235236251180281942e-09
7.200000000000000000e+01,5.272656251614177528e-09
7.300000000000000000e+01,5.308294347265507799e-09
7.400000000000000000e+01,5.343932442916837243e-09
7.500000000000000000e+01,5.381352443350732828e-09
7.600000000000000000e+01,5.416990539002062273e-09
7.700000000000000000e+01,5.452628634653390890e-09
7.800000000000000000e+01,5.486484825522154192e-09
7.900000000000000000e+01,5.522122921173483636e-09
8.000000000000000000e+01,5.557761016824813081e-09
8.100000000000000000e+01,5.591617207693576383e-09
8.200000000000000000e+01,5.625473398562338859e-09
8.300000000000000000e+01,5.661111494213668303e-09
8.400000000000000000e+01,5.694967685082431606e-09
8.500000000000000000e+01,5.728823875951194082e-09
8.600000000000000000e+01,5.762680066819957384e-09
8.700000000000000000e+01,5.794754352906152891e-09
8.800000000000000000e+01,5.828610543774916194e-09
8.900000000000000000e+01,5.860684829861112529e-09
9.000000000000000000e+01,5.894541020729875831e-09
9.100000000000000000e+01,5.926615306816072166e-09
9.200000000000000000e+01,5.958689592902268500e-09
9.300000000000000000e+01,5.992545783771031803e-09
9.400000000000000000e+01,6.024620069857227310e-09
9.500000000000000000e+01,6.056694355943423644e-09
9.600000000000000000e+01,6.086986737247053837e-09
9.700000000000000000e+01,6.119061023333250998e-09
9.800000000000000000e+01,6.151135309419446506e-09
9.900000000000000000e+01,6.181427690723076699e-09
1.000000000000000000e+02,6.213501976809273033e-09
1.100000000000000000e+02,6.516425789845573308e-09
1.200000000000000000e+02,6.806876269403907285e-09
