92-U-238(n,total) ENDF/B-VII.1
1.0E-5,170.35
1.31241E-5,148.979
1.70876E-5,130.873
2.2426E-5,114.602
2.91987E-5,100.833
3.83206E-5,88.4792
4.98935E-5,78.0468
6.54808E-5,68.708
8.52562E-5,60.8435
1.11891E-4,53.8233
1.45682E-4,47.9287
1.91195E-4,42.6842
2.48937E-4,38.2908
3.55803E-4,33.2773
5.08546E-4,29.1608
7.26861E-4,25.7743
0.0010389,22.9821
0.00148489,20.6754
0.00212234,18.7667
0.00333,16.8176
0.00518342,15.3107
0.00813293,14.0787
0.0138972,12.9436
0.0234661,12.1003
0.0253,11.9943
0.0516848,11.1815
0.115908,10.5454
0.308296,10.0475
1.20413,9.58016
4.16598,9.08524
4.32698,9.19608
4.38103,9.8522
4.40725,10.0885
4.48798,9.19927
4.60298,9.09283
5.20098,9.33182
5.46202,9.71722
5.66386,10.3484
5.79848,11.1125
5.92698,12.3505
6.01876,13.8075
6.11055,16.1537
6.1748,18.7334
6.22834,21.8988
6.28188,26.6015
6.32471,32.2195
6.36142,39.238
6.39125,47.355
6.41803,57.5655
6.44097,69.7681
6.46239,85.716
6.48074,105.014
6.49696,129.205
6.51103,159.401
6.52205,193.107
6.53199,236.039
6.5401,284.65
6.54775,347.084
6.5554,432.375
6.56258,541.267
6.56947,680.26
6.57704,883.913
6.58415,1135.62
6.5915,1469.06
6.60006,1965.93
6.61016,2709.71
6.62393,3967.64
6.64902,6406.86
6.6615,7229.32
6.67354,7513.66
6.68548,7235.05
6.69797,6422.09
6.73407,2997.36
6.74508,2151.6
6.75426,1597.84
6.76283,1199.88
6.77032,933.974
6.77797,728.117
6.78486,588.153
6.79281,467.539
6.80015,385.556
6.80933,311.241
6.81851,258.432
6.82952,213.42
6.84176,178.116
6.85706,147.007
6.87312,123.681
6.89224,103.492
6.91519,86.0434
6.9412,71.8678
6.97332,59.46
7.0108,49.3712
7.0544,41.2394
7.10794,34.4115
7.17233,28.8862
7.25119,24.4156
7.34754,20.8702
7.48094,17.816
7.64194,15.6501
7.86159,13.7955
8.12379,12.543
8.61829,11.2836
9.45733,10.3015
10.0094,9.98589
10.106,10.1959
10.1405,10.774
10.1727,12.0251
10.221,14.3519
10.2392,14.6271
10.2624,14.1622
10.3222,11.2186
10.3567,10.2742
10.4015,9.88465
10.986,9.49502
11.1303,9.4573
11.2125,9.6052
11.3121,10.367
11.3781,9.84924
11.4563,9.37762
16.8631,7.49959
18.8222,6.58729
18.9487,6.57402
19.2937,6.74384
19.3811,7.06918
19.4432,7.83094
19.5088,8.76367
19.5306,8.85078
19.5824,8.50926
19.6479,7.93146
19.6778,7.87356
19.7652,8.2286
19.863,9.04526
19.9636,10.3346
20.0509,12.0192
20.1293,14.2397
20.2041,17.3519
20.2587,20.5761
20.3092,24.6459
20.3586,30.149
20.4019,36.8188
20.442,45.3757
20.4781,56.0236
20.509,68.5961
20.5378,84.8336
20.5625,104.317
20.5831,127.031
20.6017,155.842
20.6182,192.372
20.6326,237.75
20.6451,292.728
20.6581,371.465
